"score",Text,Sentiment
-1,"oh nyata pocong pakai siri ","negative"
-4," nyamuk datang lah ada tanggal lah kakak ponti kacau cadar itu lah pocong lompat atas trampoline itu lah ","negative"
0," foto awkarin jadi poconggak sambung","neutral"
0," maklum kalau pocong banyak tanya kan di kubur sendiri jadi butuh ramai ","neutral"
4,"benar aku tak larat sangat deh ini tapi sebab cerita pocong itu aku gigih cari kawan ","positive"
-3," takut orang kelas pakai video poling alias pocong keliling","negative"
4," starinfo wah ada pocong pakai kain kafan merk off white masa breaktime forgreatmusic ","positive"
-1," aing sampai lupa dulu apa sampai blok pocong wkwkwkwdiblok rtz gegara flaming wkwkw","negative"
4," pocong karena hantu lokal terus kalo aku mau tidur aku suka ngebayangin guling aku jadi pocong t cowok hszep e hO","positive"
0,"sikile tali pocong jal ","neutral"
-4," kenapa yang muncul malah pocong ya ily deh cong ","negative"
0,"weh pocong beistifar ","neutral"
4,"oke mimpi lihat pocong depan muka dan teriak kayak cewek ajg padahal kalo diinget ingat pocong kayak familiar muka tapi kenapa teriak ","positive"
8,"ajar dari pocong dari dulupakaiannya itu itu saja hidup sederhana ","positive"
0," enggak mayat itu sudah bungkus jadi pocong nah pocong loncat ","neutral"
0,"masuk dan tonton live pocong p ramal di bigolive ","neutral"
-4," jalan t tiati jalan awas ada pocong prikitiew ","negative"
0,"arief muhammad panggil pocong ","neutral"
-4," lagi pikir kalo pocong jalan bagaimana soal bosan lihat pocong loncat saja","negative"
7," pocong karena jalan lompat doi cocok jadi atlet lompat indah wkq","positive"
0," poconglucu kayak guling","neutral"
0," terus ini pocong ngerekamnya bagaimana ","neutral"
6,"ingat banget waktu itu gue tuduh minta belikan kacamata ke mamak gue padahal yaallah sumpah pocong gue berani gue beli ","positive"
-7,"rt haduhhh ini anak kasihan banget bikin prank jadi pocong pocong pas di datengin tim teman teman pada kabur dia gabis","negative"
-1,"ini tonton yang prank pocong kocak benar kasihan yang jadi pocong tinggal kabur sama teman teman teman pada kabur dia gabis","negative"
-6," pocong muka doang yang keliatann yang jadi pocong tinggal kabur sama teman teman teman pada kabur dia gabis","negative"
4,"pocong ba sama followers siap dengan verified badge lagi ","positive"
